CodigoCliente,CodigoContrato,DataInicio,DataTermino,Fechado,Placa,Cor,Modelo,ValorCombustivel,ValorLocacao,PeriodoTarifa,ValorPeriodoVeiculo,Valordiario 
477,22580,9/25/20 0:00,9/28/20 0:00,Sim,RFM9A47,Branco Banchisa,Gol 1.0 Flex 12v 5p, 0.00, 240.00,1, 80.00, 240.00
1035,22593,9/28/20 0:00,11/26/20 0:00,Sim,QPO8329,Prata,Gol 1.0 Flex 12v 5p, 142.52, 3879.95,30, 1800.00, 129.33
521,22596,9/28/20 0:00,11/18/20 0:00,Sim,QWU1181,Prata,Etios Hb Xls 1.5, 173.06, 3553.40,1, 63.34, 3553.40
1609,22626,10/5/20 0:00,10/8/20 0:00,Sim,PWY8734,Branca,Fiorino Furgão 1.4 Flex, 0.00, 549.99,1, 183.33, 549.99
1881,22628,10/6/20 0:00,10/7/20 0:00,Sim,RFP7J83,Branca,Ka Se 1.0 Ha, 0.00, 100.00,1, 55.56, 100.00
1957,22631,10/6/20 0:00,11/17/20 0:00,Sim,RFP7J72,Branca,Ka Se 1.0 Ha, 0.00, 2450.00,30, 1750.00, 81.67
1958,22633,10/7/20 0:00,10/12/20 0:00,Sim,QQU2455,Prata,Corolla Gli 1.8 Cvt, 0.00, 1650.00,1, 330.00, 1650.00
1959,22636,10/8/20 0:00,10/13/20 0:00,Sim,RFP7J96,Branca,Ka Se 1.0 Ha, 0.00, 500.00,1, 100.00, 500.00
1960,22637,10/8/20 0:00,10/13/20 0:00,Sim,RFP7J83,Branca,Ka Se 1.0 Ha, 0.00, 500.00,1, 100.00, 500.00
1404,22635,10/8/20 0:00,10/9/20 0:00,Sim,RFP7J85,Branca,Ka Se 1.0 Ha, 61.08, 61.10,1, 0.01, 61.10
1961,22638,10/9/20 0:00,10/14/20 0:00,Sim,RFP7J93,Branca,Ka Se 1.0 Ha, 0.00, 500.00,1, 100.00, 500.00
1963,22642,10/9/20 0:00,10/14/20 0:00,Sim,RFP7J90,Branca,Ka Se 1.0 Ha, 0.00, 850.00,1, 100.00, 850.00
1962,22641,10/9/20 0:00,10/13/20 0:00,Sim,RFI4A44,Cinza,Ka Se 1.0 Ha, 0.00, 400.00,1, 100.00, 400.00
839,22646,10/13/20 0:00,11/30/20 0:00,Sim,QXG3475,Branca,Onix 1.0mt Lt Flex Power Sp. Mec., 0.00, 3040.00,30, 1900.00, 101.33
1969,22693,10/15/20 0:00,10/19/20 0:00,Sim,RFP7J81,Branca,Ka Se 1.0 Ha, 0.00, 400.00,1, 100.00, 400.00
1974,22735,10/19/20 0:00,10/23/20 0:00,Sim,RFP7J93,Branca,Ka Se 1.0 Ha, 0.00, 450.00,1, 90.00, 450.00
