NU_INSCRICAO,Q001,Q002,Q005,Q006,Q007
210057551883,B,F,6,B,A
210056590629,C,B,2,B,A
210054569187,B,E,4,C,A
210057398848,C,D,5,C,A
210056536546,E,D,4,G,A
210055758710,C,B,3,D,A
210057268877,E,E,3,D,A
210056884012,E,E,5,E,A
210057829133,E,D,3,H,A
210057131134,F,G,3,H,A
210055796066,D,D,4,B,A
210056247191,C,H,3,A,A
210056941773,B,H,4,B,A
210056642945,D,C,2,B,A
210055607169,B,A,4,D,A
210056725564,C,C,4,C,A
210055718943,C,B,3,B,A
210056906572,B,B,1,B,A
210055363693,C,F,3,C,A
210055605727,A,E,4,B,A
210058018693,E,F,4,G,A
210054547328,B,E,4,C,A
210056928817,B,E,2,B,A
210055338138,D,E,5,B,A
210055674876,H,E,4,B,A
210056515917,B,B,4,D,A
210056582019,E,G,5,C,A
210056902649,C,G,2,C,A
210057376627,E,F,2,D,A
210057318862,E,E,2,A,A
210055750271,D,D,4,E,A
210056668602,B,B,3,B,A
210055738778,D,E,2,B,A
210055760585,E,E,3,C,A
210057372642,D,E,4,F,A
210055445129,A,D,3,B,A
210057590953,B,C,4,B,A
210056607104,E,E,3,A,A
210057333343,D,E,3,B,A
210057236631,B,B,3,D,A
210055628910,E,C,2,B,A
210057121865,F,D,4,B,A
210055555806,G,E,5,G,A
210055578220,H,F,4,B,A
210056260873,E,D,4,B,A
210055657170,D,E,3,B,A
210055060218,F,B,1,B,A
210055657166,D,E,3,B,A
210056578328,C,G,4,B,A
210057598556,C,E,2,B,A
210055256962,B,B,4,B,A
210055319895,C,E,3,C,A
210056872150,D,D,2,B,A
210055733350,H,D,6,B,A
210057087513,E,E,3,B,A
210056245006,E,E,4,D,A
210057372698,C,C,3,E,A
210055733348,H,D,6,B,A
210054560934,C,C,4,E,A
210057119661,E,E,2,B,A
210055605473,D,D,3,B,A
210055414878,F,G,4,K,A
210055634107,D,E,4,F,A
210055229860,D,E,5,D,A
210055740034,E,E,2,C,A
210057789080,E,E,4,C,A
210055294871,H,H,4,B,A
210056553607,D,B,4,C,A
210056797893,D,E,3,G,A
210054552397,E,E,4,O,A
210056773025,B,E,3,B,A
210057369178,B,B,4,C,A
210057153579,E,E,4,E,A
210055701580,E,D,4,C,A
210056467160,B,B,3,F,A
210056712848,E,E,3,D,A
210057399311,B,B,3,C,A
210055680642,E,E,5,B,A
210055727342,B,H,2,C,A
210055718430,B,D,6,G,A
210055241693,B,B,3,A,A
210055607272,C,F,3,D,A
210057814230,E,E,4,D,A
210056534761,B,B,4,C,A
210055743229,H,H,4,B,A
210057050556,B,H,3,F,A
210054515722,B,C,3,B,A
210057815051,E,C,2,C,A
210057271185,C,E,4,C,A
210055731432,E,C,4,B,A
210056198428,B,C,5,D,A
210055726417,C,F,4,E,A
210057825522,H,E,3,C,A
210054847630,B,C,3,B,A
210057822835,E,E,2,B,A
