Codigo Cliente,Codigo Contrato,Data Inicio do contrato,Data Término do contrato,Fechado,Placa,Cor,Fabricante,Modelo,ValorLocacao,Valor Periodo Seguro adicional,PeriodoTarifa,Valor Locação com seguro ,Valordiario 
77,2705,12/22/22 0:00,12/23/22 0:00,Sim,QQS9964,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,89.00,28.00,1,117,117.00
77,2707,12/28/22 0:00,12/28/22 0:00,Sim,QUB6448,Branco,Fiat,Fiat Strada Working Hard 1.4 Fire Flex 8V,133.00,39.00,1,172,172.00
77,2813,1/13/23 0:00,1/14/23 0:00,Sim,QUB6448,Branco,Fiat,Fiat Strada Working Hard 1.4 Fire Flex 8V,250.00,39.00,1,289,289.00
63,2033,6/17/22 0:00,7/19/22 0:00,Sim,QOV8599,Branco,Ford,Ka + Sedan 1.5 16v Flex 4p,2.500.00,177.00,30,2677,89.23
47,1596,3/3/22 0:00,4/3/22 0:00,Sim,QUB6267,Branco,Fiat,Fiat Strada Working Hard 1.4 Fire Flex 8V,2.000.00,255.00,30,2255,75.17
47,1816,4/25/22 0:00,6/3/22 0:00,Sim,QUB6267,Branco,FiatFi,Fiat Strada Working Hard 1.4 Fire Flex 8V,2.000.00,255.00,30,2255,75.17
68,2250,8/26/22 0:00,11/21/22 0:00,Sim,QQS9966,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,2.070.00,255.00,30,2325,77.50
76,2704,12/22/22 0:00,12/23/22 0:00,Sim,QUB6448,Branco,Fiat,Fiat Strada Working Hard 1.4 Fire Flex 8V,225.00,39.00,1,264,264.00
94,3082,4/6/23 0:00,4/18/23 0:00,Não,QOV8599,Branco,Ford,Ka + Sedan 1.5 16v Flex 4p,1.490.00,39.00,12,1958,163.17
10,354,12/21/20 0:00,12/29/20 0:00,Sim,QNZ0241,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,125.00,28.00,1,153,153.00
69,2354,9/15/22 0:00,12/15/22 0:00,Sim,QQS7867,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,1.800.00,177.00,30,1977,65.90
40,1326,11/18/21 0:00,12/1/21 0:00,Sim,PZM6980,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,264.30,28.00,4,376,94.08
40,2702,11/30/22 0:00,1/14/23 0:00,Sim,QOV8592,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,82.00,28.00,1,110,110.00
40,2590,11/22/22 0:00,11/26/22 0:00,Sim,QQS9966,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,440.00,28.00,4,552,138.00
40,2593,11/30/22 0:00,12/17/22 0:00,Sim,QQS9966,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,396.00,28.00,4,508,127.00
40,2469,10/24/22 0:00,10/31/22 0:00,Sim,QUB6250,Branco,Fiat,Fiat Uno Vivace 1.0 Fire Flex 8V 4P,396.00,28.00,4,508,127.00
64,2246,8/5/22 0:00,8/11/22 0:00,Sim,QQS7853,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,2.070.00,177.00,30,2247,74.90
88,2939,2/18/23 0:00,2/22/23 0:00,Não,QNV6811,Branco,Ford,Ka + Sedan 1.5 16v Flex 4p,1.170.00,39.00,12,1638,136.50
88,2938,2/18/23 0:00,2/18/23 0:00,Sim,QOV8592,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,126.00,28.00,3,210,70.00
84,2889,2/7/23 0:00,2/14/23 0:00,Sim,QOV8592,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,91.00,28.00,1,119,119.00
83,2821,1/31/23 0:00,3/3/23 0:00,Sim,QOV8599,Branco,Ford,Ka + Sedan 1.5 16v Flex 4p,1.965.00,255.00,30,2220,74.00
91,3061,3/24/23 0:00,3/27/23 0:00,Não,QXJ0363,Branco,Chevrolet,Onix Hatch 1.0  8v Flex Power 5p,324.00,28.00,3,408,136.00
74,2596,12/2/22 0:00,1/2/23 0:00,Sim,QQS7853,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,2.050.00,177.00,30,2227,74.23
41,1414,12/8/21 0:00,1/8/22 0:00,Sim,QQS7857,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,1.250.00,177.00,30,1427,47.57
41,1503,1/8/22 0:00,2/8/22 0:00,Sim,QQS7857,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,1.250.00,177.00,30,1427,47.57
41,1590,2/8/22 0:00,3/8/22 0:00,Sim,QQS7857,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,1.250.00,177.00,30,1427,47.57
41,1714,3/8/22 0:00,3/8/22 0:00,Sim,QQS7857,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,1.250.00,177.00,30,1427,47.57
61,1968,6/3/22 0:00,7/4/22 0:00,Sim,QQS7869,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,2.250.00,177.00,30,2427,80.90
32,1149,9/16/21 0:00,9/20/21 0:00,Sim,PZM6980,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,576.00,28.00,4,688,172.00
32,1594,2/25/22 0:00,3/2/22 0:00,Sim,QQS7860,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,670.00,28.00,3,754,251.33
26,1103,9/1/21 0:00,9/10/21 0:00,Sim,QNE2903,Branco,Ford,Ka 1.0 Ticvt Flex 8v 5p,1.588.00,177.00,30,1765,58.83
26,979,7/14/21 0:00,8/16/21 0:00,Sim,QNW0305,Branco,Ford,Ka + Sedan 1.5 16v Flex 4p,1.620.00,255.00,30,1875,62.50
